ISO,Year,PGC_Waste
DEU,2019,408.6009022
DJI,2000,341.3526081
DJI,2001,341.3526081
DJI,2002,341.3526081
DJI,2003,341.3526081
DJI,2004,341.3526081
DJI,2005,341.3526081
DJI,2006,341.3526081
DJI,2007,341.3526081
DJI,2008,341.3526081
DJI,2009,341.3526081
DJI,2010,341.3526081
DJI,2011,341.3526081
DJI,2012,341.3526081
DJI,2013,341.3526081
DJI,2014,341.3526081
DJI,2015,341.3526081
DJI,2016,341.3526081
DJI,2017,100.2080692
DJI,2018,100.2080692
DJI,2019,98.50453236
DMA,2000,1695.934
DMA,2001,1695.934
DMA,2002,1695.934
DMA,2003,1695.934
DMA,2004,1695.934
DMA,2005,1695.934
DMA,2006,1695.934
DMA,2007,1695.934
DMA,2008,1695.934
DMA,2009,1695.934
DMA,2010,1695.934
DMA,2011,1695.934
DMA,2012,1695.934
DMA,2013,1695.934
DMA,2014,1695.934
DMA,2015,1695.934
DMA,2016,1695.934
DMA,2017,1635.576846
DMA,2018,1635.576846
DMA,2019,1683.493014
DNK,2000,412.0235127
DNK,2001,412.0235127
DNK,2002,412.0235127
DNK,2003,412.0235127
DNK,2004,412.0235127
DNK,2005,412.0235127
DNK,2006,412.0235127
DNK,2007,412.0235127
DNK,2008,412.0235127
DNK,2009,412.0235127
DNK,2010,412.0235127
DNK,2011,412.0235127
DNK,2012,412.0235127
DNK,2013,412.0235127
DNK,2014,412.0235127
DNK,2015,412.0235127
DNK,2016,412.0235127
DNK,2017,437.1736924
DNK,2018,437.1736924
DNK,2019,435.9506066
DOM,2000,1235.996253
DOM,2001,1235.996253
DOM,2002,1235.996253
DOM,2003,1235.996253
DOM,2004,1235.996253
DOM,2005,1235.996253
DOM,2006,1235.996253
DOM,2007,1235.996253
DOM,2008,1235.996253
DOM,2009,1235.996253
DOM,2010,1235.996253
DOM,2011,1235.996253
DOM,2012,1235.996253
DOM,2013,1235.996253
DOM,2014,1235.996253
DOM,2015,1235.996253
DOM,2016,1235.996253
DOM,2017,1242.808703
DOM,2018,1242.808703
DOM,2019,1114.968641
DZA,2000,61.57828178
DZA,2001,61.57828178
DZA,2002,61.57828178
DZA,2003,61.57828178
DZA,2004,61.57828178
DZA,2005,61.57828178
DZA,2006,61.57828178
DZA,2007,61.57828178
DZA,2008,61.57828178
DZA,2009,61.57828178
DZA,2010,61.57828178
DZA,2011,61.57828178
DZA,2012,61.57828178
DZA,2013,61.57828178
DZA,2014,61.57828178
DZA,2015,61.57828178
DZA,2016,61.57828178
DZA,2017,26.82266825
DZA,2018,26.82266825
DZA,2019,33.71100172
ECU,2000,839.5960215
ECU,2001,839.5960215
ECU,2002,839.5960215
ECU,2003,839.5960215
ECU,2004,839.5960215
ECU,2005,839.5960215
ECU,2006,839.5960215
